block_id,drug_col,drug_row,conc_c,conc_r,response,conc_c_unit,conc_r_unit
1,drug1,drug2,0.0,0.0,100.0,uM,uM
1,drug1,drug2,0.0001,0.0,99.99400059994001,uM,uM
1,drug1,drug2,0.0005179474679231213,0.0,99.83946890836776,uM,uM
1,drug1,drug2,0.002682695795279727,0.0,95.97179043329356,uM,uM
1,drug1,drug2,0.013894954943731374,0.0,60.47294042257412,uM,uM
1,drug1,drug2,0.07196856730011521,0.0,41.13647670735182,uM,uM
1,drug1,drug2,0.3727593720314942,0.0,40.04315008588147,uM,uM
1,drug1,drug2,1.9306977288832496,0.0,40.001609574297184,uM,uM
1,drug1,drug2,10.0,0.0,40.00005999994,uM,uM
1,drug1,drug2,0.0,0.0001,99.92007992007991,uM,uM
1,drug1,drug2,0.0001,0.0001,99.91408451562435,uM,uM
1,drug1,drug2,0.0005179474679231213,0.0001,99.75965574226161,uM,uM
1,drug1,drug2,0.002682695795279727,0.0001,95.8945531436277,uM,uM
1,drug1,drug2,0.013894954943731374,0.0001,60.41934539065766,uM,uM
1,drug1,drug2,0.07196856730011521,0.0001,41.095759773147776,uM,uM
1,drug1,drug2,0.3727593720314942,0.0001,40.0031613079355,uM,uM
1,drug1,drug2,1.9306977288832496,0.0001,39.96164846235959,uM,uM
1,drug1,drug2,10.0,0.0001,39.960099920019964,uM,uM
1,drug1,drug2,0.0,0.00035938136638046257,99.71352444665361,uM,uM
1,drug1,drug2,0.0001,0.00035938136638046257,99.70753936893905,uM,uM
1,drug1,drug2,0.0005179474679231213,0.00035938136638046257,99.5533765902989,uM,uM
1,drug1,drug2,0.002682695795279727,0.00035938136638046257,95.69493140965231,uM,uM
1,drug1,drug2,0.013894954943731374,0.00035938136638046257,60.280827671432704,uM,uM
1,drug1,drug2,0.07196856730011521,0.00035938136638046257,40.99052582406526,uM,uM
1,drug1,drug2,0.3727593720314942,0.00035938136638046257,39.89980929716885,uM,uM
1,drug1,drug2,1.9306977288832496,0.00035938136638046257,39.85836795509326,uM,uM
1,drug1,drug2,10.0,0.00035938136638046257,39.85682208002916,uM,uM
1,drug1,drug2,0.0,0.001291549665014884,98.97993491517411,uM,uM
1,drug1,drug2,0.0001,0.001291549665014884,98.97398651326854,uM,uM
1,drug1,drug2,0.0005179474679231213,0.001291549665014884,98.82076842488853,uM,uM
1,drug1,drug2,0.002682695795279727,0.001291549665014884,94.98596731457897,uM,uM
1,drug1,drug2,0.013894954943731374,0.001291549665014884,59.78887678258792,uM,uM
1,drug1,drug2,0.07196856730011521,0.001291549665014884,40.616783496531475,uM,uM
1,drug1,drug2,0.3727593720314942,0.001291549665014884,39.53275074433506,uM,uM
1,drug1,drug2,1.9306977288832496,0.001291549665014884,39.49156334962972,uM,uM
1,drug1,drug2,10.0,0.001291549665014884,39.49002694749501,uM,uM
1,drug1,drug2,0.0,0.004641588833612782,96.4514385644559,uM,uM
1,drug1,drug2,0.0001,0.004641588833612782,96.44561657472664,uM,uM
1,drug1,drug2,0.0005179474679231213,0.004641588833612782,96.29565459316505,uM,uM
1,drug1,drug2,0.002682695795279727,0.004641588833612782,92.54234857377199,uM,uM
1,drug1,drug2,0.013894954943731374,0.004641588833612782,58.09324731433756,uM,uM
1,drug1,drug2,0.07196856730011521,0.004641588833612782,39.328588844445584,uM,uM
1,drug1,drug2,0.3727593720314942,0.004641588833612782,38.26759336202025,uM,uM
1,drug1,drug2,1.9306977288832496,0.004641588833612782,38.22728125924782,uM,uM
1,drug1,drug2,10.0,0.004641588833612782,38.225777507889006,uM,uM
1,drug1,drug2,0.0,0.016681005372000592,88.56300195986934,uM,uM
