block_id,drug_col,drug_row,conc_c,conc_r,response,conc_c_unit,conc_r_unit
1,drug1,drug2,0.0,0.0,100.0,uM,uM
1,drug1,drug2,0.0001,0.0,99.00990099009901,uM,uM
1,drug1,drug2,0.0005179474679231213,0.0,95.07558419071097,uM,uM
1,drug1,drug2,0.002682695795279727,0.0,78.84759014500544,uM,uM
1,drug1,drug2,0.013894954943731374,0.0,41.8498382756876,uM,uM
1,drug1,drug2,0.07196856730011521,0.0,12.199798446380731,uM,uM
1,drug1,drug2,0.3727593720314942,0.0,2.6126074841551317,uM,uM
1,drug1,drug2,1.9306977288832496,0.0,0.5152785954850565,uM,uM
1,drug1,drug2,10.0,0.0,0.09990009990009992,uM,uM
1,drug1,drug2,0.0,0.0001,99.9000999000999,uM,uM
1,drug1,drug2,0.0001,0.0001,98.91018954789051,uM,uM
1,drug1,drug2,0.0005179474679231213,0.0001,94.97663746421597,uM,uM
1,drug1,drug2,0.002682695795279727,0.0001,78.75211242948698,uM,uM
1,drug1,drug2,0.013894954943731374,0.0001,41.766252385687544,uM,uM
1,drug1,drug2,0.07196856730011521,0.0001,12.144661128796571,uM,uM
1,drug1,drug2,0.3727593720314942,0.0001,2.5920398456768563,uM,uM
1,drug1,drug2,1.9306977288832496,0.0001,0.5104241042817786,uM,uM
1,drug1,drug2,10.0,0.0001,0.09892066691762633,uM,uM
1,drug1,drug2,0.0,0.00035938136638046257,99.64190555831699,uM,uM
1,drug1,drug2,0.0001,0.00035938136638046257,98.65255555872749,uM,uM
1,drug1,drug2,0.0005179474679231213,0.00035938136638046257,94.72126764808391,uM,uM
1,drug1,drug2,0.002682695795279727,0.00035938136638046257,78.50686626959644,uM,uM
1,drug1,drug2,0.013894954943731374,0.00035938136638046257,41.55401483815884,uM,uM
1,drug1,drug2,0.07196856730011521,0.00035938136638046257,12.00604199668854,uM,uM
1,drug1,drug2,0.3727593720314942,0.00035938136638046257,2.540498682961954,uM,uM
1,drug1,drug2,1.9306977288832496,0.00035938136638046257,0.4982673106470475,uM,uM
1,drug1,drug2,10.0,0.00035938136638046257,0.09646825598715164,uM,uM
1,drug1,drug2,0.0,0.001291549665014884,98.72491864396761,uM,uM
1,drug1,drug2,0.0001,0.001291549665014884,97.7383264981504,uM,uM
1,drug1,drug2,0.0005179474679231213,0.001291549665014884,93.8181158730203,uM,uM
1,drug1,drug2,0.002682695795279727,0.001291549665014884,77.65188344243623,uM,uM
1,drug1,drug2,0.013894954943731374,0.001291549665014884,40.84021946332171,uM,uM
1,drug1,drug2,0.07196856730011521,0.001291549665014884,11.554574047894446,uM,uM
1,drug1,drug2,0.3727593720314942,0.001291549665014884,2.3743846166003033,uM,uM
1,drug1,drug2,1.9306977288832496,0.001291549665014884,0.4591691974794714,uM,uM
1,drug1,drug2,10.0,0.001291549665014884,0.0885840577357013,uM,uM
1,drug1,drug2,0.0,0.004641588833612782,95.56429820556987,uM,uM
1,drug1,drug2,0.0001,0.004641588833612782,94.59398966637676,uM,uM
1,drug1,drug2,0.0005179474679231213,0.004641588833612782,90.73876005222547,uM,uM
